winnerPlayer,nodeCount,time,hit_rate
1,24,0.303255,0.00
1,24,0.327505,0.00
1,10,0.285371,0.00
1,10,0.290646,0.00
1,10,0.320185,0.00
1,10,0.302523,0.00
1,1655,0.140813,12.27
1,1655,0.155864,12.27
1,1655,0.126658,12.27
1,1655,0.140856,12.27
1,1655,0.121683,12.27
2,946,0.237052,10.89
2,946,0.247697,10.89
2,946,0.244103,10.89
2,946,0.237420,10.89
2,7836,0.085450,12.19
2,7836,0.095220,12.19
2,7836,0.082127,12.19
2,7836,0.090320,12.19
2,7836,0.086021,12.19
2,7836,0.087286,12.19
2,7836,0.083635,12.19
2,7836,0.075561,12.19
2,7836,0.084526,12.19
2,7836,0.083202,12.19
2,106,0.127003,2.83
2,106,0.123149,2.83
2,106,0.127819,2.83
2,106,0.125057,2.83
2,106,0.123267,2.83
2,106,0.123950,2.83
2,106,0.119472,2.83
2,106,0.119390,2.83
1,450,0.139988,11.33
1,450,0.137597,11.33
1,450,0.135261,11.33
1,450,0.138366,11.33
1,450,0.136715,11.33
1,450,0.142764,11.33
1,78,0.185573,2.56
1,78,0.207194,2.56
1,78,0.197810,2.56
1,78,0.197899,2.56
1,78,0.200622,2.56
2,4,0.197933,0.00
2,4,0.192937,0.00
2,4,0.195584,0.00
2,4,0.196181,0.00
2,4,0.205410,0.00
1,231,0.201422,13.85
2,162,0.136959,8.02
2,162,0.120745,8.02
2,162,0.123135,8.02
2,162,0.126816,8.02
2,162,0.110846,8.02
2,162,0.117920,8.02
2,162,0.120822,8.02
2,162,0.125372,8.02
2,162,0.125217,8.02
2,162,0.116165,8.02
2,162,0.117961,8.02
2,162,0.124183,8.02
2,162,0.113119,8.02
2,162,0.117946,8.02
2,162,0.120375,8.02
2,162,0.127214,8.02
2,162,0.119836,8.02
2,162,0.131356,8.02
2,162,0.125529,8.02
2,162,0.140873,8.02
2,162,0.119291,8.02
2,162,0.120261,8.02
2,162,0.136945,8.02
2,162,0.122140,8.02
2,162,0.120321,8.02
2,162,0.114822,8.02
2,162,0.118779,8.02
2,162,0.118214,8.02
2,162,0.116791,8.02
2,162,0.110423,8.02
2,162,0.112815,8.02
2,162,0.119282,8.02
2,162,0.111539,8.02
2,162,0.116965,8.02
2,162,0.122530,8.02
2,162,0.115360,8.02
2,162,0.117154,8.02
2,162,0.110483,8.02
2,162,0.110301,8.02
2,162,0.116591,8.02
2,162,0.109136,8.02
2,162,0.110369,8.02
2,162,0.143730,8.02
2,162,0.126136,8.02
2,162,0.122472,8.02
2,162,0.117946,8.02
2,162,0.120844,8.02
2,162,0.118051,8.02
2,162,0.118094,8.02
2,162,0.120635,8.02
