winnerPlayer,nodeCount,time
1,6,0.000000
2,4,0.000000
1,4,0.000000
2,742,0.248698
2,6012,0.211581
1,4,0.346203
1,5960,0.336454
1,3017,0.209168
1,1277,0.368932
