winnerPlayer,nodeCount,time,hit_rate
1,229,0.023829,14.85
1,229,0.017377,14.85
1,229,0.017367,14.85
1,229,0.017474,14.85
1,229,0.017759,14.85
1,229,0.018214,14.85
1,229,0.017403,14.85
1,229,0.018767,14.85
1,229,0.018332,14.85
1,229,0.019056,14.85
1,229,0.018144,14.85
1,229,0.018600,14.85
1,229,0.017606,14.85
1,229,0.017786,14.85
1,229,0.020135,14.85
1,229,0.021413,14.85
1,229,0.018117,14.85
1,229,0.020293,14.85
1,229,0.019090,14.85
1,229,0.019067,14.85
1,229,0.017838,14.85
1,229,0.021108,14.85
1,229,0.020937,14.85
1,229,0.017581,14.85
1,229,0.017010,14.85
1,229,0.017685,14.85
1,229,0.021436,14.85
2,4,0.040152,0.00
2,4,0.038031,0.00
2,4,0.038844,0.00
2,4,0.047027,0.00
2,4,0.071975,0.00
2,4,0.047134,0.00
2,4,0.049541,0.00
2,4,0.036428,0.00
2,4,0.040855,0.00
2,4,0.038683,0.00
2,4,0.034705,0.00
2,4,0.035600,0.00
2,4,0.035911,0.00
2,4,0.044885,0.00
2,4,0.042145,0.00
2,4,0.040699,0.00
2,4,0.040004,0.00
2,4,0.039224,0.00
2,4,0.042477,0.00
2,222,0.035227,2.70
2,222,0.040563,2.70
2,222,0.028864,2.70
2,222,0.028705,2.70
2,10,0.030612,0.00
2,10,0.029591,0.00
2,10,0.030053,0.00
2,10,0.029723,0.00
2,10,0.033590,0.00
2,10,0.031106,0.00
2,10,0.028954,0.00
2,10,0.029846,0.00
2,10,0.031199,0.00
2,10,0.033967,0.00
2,10,0.030598,0.00
2,10,0.028972,0.00
2,10,0.028729,0.00
2,10,0.029223,0.00
2,10,0.028668,0.00
2,10,0.028525,0.00
2,10,0.032809,0.00
2,10,0.028768,0.00
2,10,0.033817,0.00
2,10,0.036558,0.00
2,10,0.031514,0.00
2,10,0.032179,0.00
2,10,0.029980,0.00
2,10,0.029446,0.00
2,10,0.030488,0.00
2,10,0.036104,0.00
2,10,0.035207,0.00
2,10,0.034694,0.00
2,10,0.036325,0.00
2,10,0.032259,0.00
2,10,0.029992,0.00
2,10,0.029995,0.00
2,10,0.031276,0.00
2,10,0.030966,0.00
2,10,0.035977,0.00
2,10,0.032382,0.00
2,10,0.032356,0.00
2,10,0.030007,0.00
2,10,0.029400,0.00
2,10,0.034641,0.00
2,10,0.031055,0.00
2,10,0.028380,0.00
2,10,0.034394,0.00
2,10,0.034080,0.00
2,10,0.033414,0.00
2,10,0.038497,0.00
2,10,0.031898,0.00
2,10,0.031296,0.00
2,10,0.035029,0.00
2,10,0.035797,0.00
