winnerPlayer,nodeCount,time,hit_rate
1,568,0.035719,12.03
1,568,0.035228,12.03
1,568,0.034091,12.03
1,568,0.035403,12.03
1,568,0.036951,12.03
1,568,0.035768,12.03
1,568,0.036432,12.03
1,565,0.022187,9.17
1,565,0.022619,9.17
1,565,0.019394,9.17
1,565,0.019261,9.17
1,565,0.020761,9.17
1,565,0.019303,9.17
1,565,0.021401,9.17
1,565,0.018972,9.17
1,565,0.019892,9.17
1,565,0.020528,9.17
1,565,0.019297,9.17
1,565,0.019693,9.17
1,565,0.022030,9.17
1,565,0.023217,9.17
1,565,0.022892,9.17
1,565,0.020237,9.17
1,565,0.021314,9.17
1,565,0.021538,9.17
1,565,0.020580,9.17
1,565,0.019613,9.17
1,565,0.019140,9.17
1,565,0.019491,9.17
1,565,0.021626,9.17
1,565,0.021436,9.17
1,565,0.019774,9.17
1,565,0.019038,9.17
1,565,0.019602,9.17
1,565,0.019498,9.17
1,565,0.020585,9.17
1,565,0.019516,9.17
1,565,0.020501,9.17
1,565,0.019084,9.17
1,244,0.023506,6.63
1,244,0.022622,6.63
1,244,0.023756,6.63
1,244,0.022869,6.63
1,244,0.022442,6.63
1,244,0.028415,6.63
1,244,0.023306,6.63
1,244,0.022876,6.63
1,244,0.022621,6.63
1,244,0.023091,6.63
1,244,0.023811,6.6
2,289,0.031261,4.36
2,289,0.032590,4.36
2,289,0.034150,4.36
2,289,0.031809,4.36
2,289,0.035769,4.36
2,289,0.031566,4.36
2,289,0.031496,4.36
2,289,0.032937,4.36
2,289,0.035372,4.36
2,289,0.031935,4.36
2,289,0.032782,4.36
2,289,0.033821,4.36
2,289,0.031669,4.36
2,289,0.032279,4.36
2,289,0.030124,4.36
2,289,0.034305,4.36
2,289,0.030840,4.36
2,289,0.031945,4.36
2,289,0.030529,4.36
2,289,0.030898,4.36
2,289,0.030800,4.36
2,289,0.031430,4.36
2,289,0.034783,4.36
2,289,0.039119,4.36
2,289,0.030412,4.36
2,289,0.031049,4.36
2,289,0.030575,4.36
2,289,0.029889,4.36
2,289,0.032518,4.36
2,289,0.029880,4.36
2,289,0.029887,4.36
2,289,0.029575,4.36
2,289,0.030176,4.36
2,289,0.032274,4.36
2,289,0.029155,4.36
2,289,0.032515,4.36
2,289,0.032644,4.36
2,289,0.030255,4.36
2,289,0.030505,4.36
2,289,0.030533,4.36
2,289,0.029430,4.36
2,289,0.030206,4.36
2,289,0.031783,4.36
2,289,0.030342,4.36
2,289,0.030536,4.36
2,289,0.034109,4.36
2,289,0.028805,4.36
2,289,0.030532,4.36
2,289,0.030773,4.36
2,289,0.029526,4.36
